# Copyright (C) 1991-2012 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 32-bit Version 12.0 Build 263 08/02/2012 Service Pack 2 SJ Web Edition
# File: Z:\workspace\mestrado\sistemasVLSI\exercises\lab1_exp_1\exp_1_pin_planing.csv
# Generated on: Wed Dec 19 11:32:31 2012

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
LEDR[17],Output,PIN_AJ7,8,B8_N2,PIN_A17,,,,
LEDR[16],Output,PIN_AD8,8,B8_N3,PIN_AH24,,,,
LEDR[15],Output,PIN_AD9,8,B8_N2,PIN_E17,,,,
LEDR[14],Output,PIN_AC11,8,B8_N2,PIN_B2,,,,
LEDR[13],Output,PIN_AB12,8,B8_N1,PIN_E8,,,,
LEDR[12],Output,PIN_AC12,8,B8_N2,PIN_AG6,,,,
LEDR[11],Output,PIN_AB13,8,B8_N0,PIN_A7,,,,
LEDR[10],Output,PIN_AC13,8,B8_N1,PIN_AJ21,,,,
LEDR[9],Output,PIN_AD14,8,B8_N0,PIN_C12,,,,
LEDR[8],Output,PIN_AH3,8,B8_N3,PIN_AC20,,,,
LEDR[7],Output,PIN_AJ2,8,B8_N3,PIN_B5,,,,
LEDR[6],Output,PIN_AJ3,8,B8_N3,PIN_G24,,,,
LEDR[5],Output,PIN_AH4,8,B8_N3,PIN_G5,,,,
LEDR[4],Output,PIN_AK3,8,B8_N3,PIN_AK11,,,,
LEDR[3],Output,PIN_AJ4,8,B8_N3,PIN_L5,,,,
LEDR[2],Output,PIN_AJ5,8,B8_N3,PIN_F20,,,,
LEDR[1],Output,PIN_AK5,8,B8_N3,PIN_B15,,,,
LEDR[0],Output,PIN_AJ6,8,B8_N2,PIN_C15,,,,
SW[17],Input,PIN_L8,2,B2_N1,PIN_A19,,,,
SW[16],Input,PIN_L7,2,B2_N1,PIN_AG25,,,,
SW[15],Input,PIN_L4,2,B2_N2,PIN_B17,,,,
SW[14],Input,PIN_L5,2,B2_N1,PIN_C3,,,,
SW[13],Input,PIN_T9,1,B1_N0,PIN_C5,,,,
SW[12],Input,PIN_U9,1,B1_N0,PIN_AF7,,,,
SW[11],Input,PIN_V10,1,B1_N1,PIN_C7,,,,
SW[10],Input,PIN_W5,1,B1_N1,PIN_AK21,,,,
SW[9],Input,PIN_AE27,6,B6_N2,PIN_G13,,,,
SW[8],Input,PIN_AD24,6,B6_N3,PIN_AK25,,,,
SW[7],Input,PIN_AD25,6,B6_N3,PIN_A5,,,,
SW[6],Input,PIN_AC23,6,B6_N3,PIN_H25,,,,
SW[5],Input,PIN_AC24,6,B6_N3,PIN_G6,,,,
SW[4],Input,PIN_AC26,6,B6_N3,PIN_AE13,,,,
SW[3],Input,PIN_AC27,6,B6_N2,PIN_M8,,,,
SW[2],Input,PIN_AB25,6,B6_N2,PIN_E20,,,,
SW[1],Input,PIN_AB26,6,B6_N2,PIN_H15,,,,
SW[0],Input,PIN_AA23,6,B6_N2,PIN_G15,,,,
